City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Talnakh,RU,69.4865,88.3972,17.24,82,28,2.48,scattered clouds
330,Ourossogui,SN,15.6064,-13.3211,96.8,20,10,6.91,clear sky
331,Ajaccio,FR,42.0,8.9167,59.0,82,20,1.14,few clouds
332,Havelock,US,34.8791,-76.9013,78.01,34,71,10.0,broken clouds
333,Nivala,FI,63.9167,24.9667,28.0,80,73,4.0,broken clouds
334,Namibe,AO,-15.1961,12.1522,75.58,74,14,2.98,few clouds
335,Alekseyevsk,RU,57.8406,108.3492,35.49,91,100,7.23,snow
336,Elban,RU,50.1018,136.5094,42.22,55,97,11.97,overcast clouds
337,Tabou,CI,4.423,-7.3528,80.96,77,100,4.59,overcast clouds
338,Tepepa,MX,20.1333,-98.1833,60.85,87,100,4.45,overcast clouds
339,Acarau,BR,-2.8856,-40.12,78.1,86,67,8.7,broken clouds
340,Kamina,CD,-8.7386,24.9906,64.74,96,100,2.24,moderate rain
341,Kungurtug,RU,50.5994,97.5228,37.09,93,97,1.01,overcast clouds
